"County Economic Status in the United States, Fiscal Year 2024",,,,,,,,,,,,,,
Appalachian Regional Commission,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Absolute Data Values,,,Indicator Index Values,,,,,,
02240,Alaska,Southeast Fairbanks,,Transitional,7.4,"42,671",11.4,130.2,84.9,117.7,90.3,112.7,"1,529",2
02261,Alaska,Valdez-Cordova,,Transitional,7.7,"53,114",6.1,136.3,105.7,94.6,48.1,93.0,816,2
02275,Alaska,Wrangell,,Transitional,7.8,"40,624",12.1,137.5,80.9,123.6,95.4,118.9,"1,751",3
02282,Alaska,Yakutat,,Transitional,7.5,"50,526",7.3,132.4,100.6,99.4,57.8,96.5,957,2
02290,Alaska,Yukon-Koyukuk,,Distressed,12.6,"37,526",23.2,221.6,74.7,133.9,183.8,179.7,"2,968",4
04001,Arizona,Apache,,Distressed,10.6,"21,073",33.9,186.3,42.0,238.4,268.4,231.0,"3,088",4
04003,Arizona,Cochise,,Transitional,5.8,"29,142",14.2,102.5,58.0,172.4,112.7,129.2,"2,083",3
04005,Arizona,Coconino,,Transitional,7.1,"43,139",17.6,124.5,85.9,116.4,139.1,126.7,"2,013",3
04007,Arizona,Gila,,At-Risk,6.0,"25,128",19.8,106.4,50.0,199.9,156.9,154.4,"2,707",4
04009,Arizona,Graham,,At-Risk,5.1,"21,724",20.0,89.1,43.2,231.2,158.1,159.5,"2,781",4
04011,Arizona,Greenlee,,Transitional,4.4,"32,274",11.6,77.5,64.3,155.6,91.6,108.3,"1,373",2
04012,Arizona,La Paz,,At-Risk,6.0,"26,459",20.2,106.1,52.7,189.8,159.6,151.9,"2,655",4
04013,Arizona,Maricopa,,Transitional,5.3,"47,438",12.0,92.8,94.4,105.9,95.3,98.0,"1,025",2
04015,Arizona,Mohave,,At-Risk,7.0,"24,342",16.0,124.0,48.5,206.4,126.7,152.3,"2,663",4
04017,Arizona,Navajo,,Distressed,8.0,"20,500",25.5,140.8,40.8,245.0,202.1,196.0,"3,032",4
04019,Arizona,Pima,,Transitional,5.7,"37,127",15.1,99.6,73.9,135.3,119.7,118.2,"1,723",3
04021,Arizona,Pinal,,Transitional,5.7,"29,374",11.4,99.8,58.5,171.0,90.2,120.3,"1,812",3
04023,Arizona,Santa Cruz,,Distressed,9.5,"31,002",21.6,167.5,61.7,162.0,171.3,166.9,"2,865",4
04025,Arizona,Yavapai,,Transitional,5.3,"31,204",12.5,93.5,62.1,161.0,98.7,117.7,"1,698",3
04027,Arizona,Yuma,,Distressed,15.6,"29,049",18.3,274.1,57.8,172.9,145.1,197.4,"3,035",4
05001,Arkansas,Arkansas,,Transitional,3.4,"40,858",16.4,60.3,81.3,122.9,129.7,104.3,"1,242",2
05003,Arkansas,Ashley,,Distressed,7.3,"24,822",20.6,128.2,49.4,202.4,163.0,164.5,"2,841",4
05005,Arkansas,Baxter,,Transitional,4.5,"25,008",14.0,80.1,49.8,200.9,111.0,130.6,"2,130",3
05007,Arkansas,Benton,,Attainment,3.3,"81,749",8.1,57.9,162.7,61.4,63.9,61.1,64,1
05009,Arkansas,Boone,,Transitional,3.8,"27,362",13.3,66.7,54.5,183.6,105.3,118.5,"1,737",3
05011,Arkansas,Bradley,,Transitional,4.9,"28,299",14.8,86.0,56.3,177.5,116.8,126.8,"2,016",3
05013,Arkansas,Calhoun,,Transitional,4.3,"30,463",9.9,75.8,60.6,164.9,78.7,106.5,"1,327",2
05015,Arkansas,Carroll,,Transitional,4.0,"26,470",14.3,70.9,52.7,189.8,113.2,124.6,"1,946",3
05017,Arkansas,Chicot,,Distressed,8.6,"27,342",29.6,151.4,54.4,183.7,234.2,189.8,"3,008",4
05019,Arkansas,Clark,,At-Risk,4.8,"27,220",20.4,84.3,54.2,184.5,161.3,143.4,"2,490",4
05021,Arkansas,Clay,,At-Risk,4.9,"26,045",18.8,87.0,51.8,192.9,148.7,142.9,"2,474",4
05023,Arkansas,Cleburne,,Transitional,5.5,"28,425",15.1,97.7,56.6,176.7,119.3,131.2,"2,143",3
05025,Arkansas,Cleveland,,Transitional,4.6,"32,660",12.4,81.4,65.0,153.8,97.8,111.0,"1,466",2
05027,Arkansas,Columbia,,At-Risk,5.5,"27,348",23.4,96.9,54.4,183.7,185.6,155.4,"2,722",4
05029,Arkansas,Conway,,Transitional,4.8,"30,750",18.9,84.9,61.2,163.4,149.5,132.6,"2,195",3
05031,Arkansas,Craighead,,Transitional,3.8,"32,381",17.8,66.6,64.5,155.1,140.9,120.9,"1,826",3
05033,Arkansas,Crawford,,Transitional,4.1,"26,069",17.7,72.1,51.9,192.7,140.5,135.1,"2,268",3
05035,Arkansas,Crittenden,,At-Risk,6.0,"29,789",19.8,105.3,59.3,168.6,156.8,143.6,"2,497",4
05037,Arkansas,Cross,,At-Risk,4.9,"26,096",17.6,85.8,52.0,192.5,139.4,139.2,"2,383",4
05039,Arkansas,Dallas,,Transitional,4.7,"25,909",12.9,82.2,51.6,193.9,102.1,126.1,"1,991",3
05041,Arkansas,Desha,,Distressed,5.8,"29,587",27.8,101.3,58.9,169.8,220.3,163.8,"2,834",4
05043,Arkansas,Drew,,At-Risk,5.7,"29,439",20.0,100.0,58.6,170.6,158.6,143.1,"2,484",4
05045,Arkansas,Faulkner,,Transitional,4.0,"33,570",14.8,69.6,66.8,149.6,116.8,112.0,"1,502",2
05047,Arkansas,Franklin,,At-Risk,4.2,"25,640",22.8,74.1,51.0,195.9,180.8,150.3,"2,627",4
05049,Arkansas,Fulton,,Distressed,4.2,"17,608",17.9,74.6,35.1,285.3,142.1,167.3,"2,869",4
05051,Arkansas,Garland,,Transitional,5.6,"29,787",16.2,97.7,59.3,168.6,128.3,131.6,"2,154",3
05053,Arkansas,Grant,,Transitional,3.8,"32,430",14.1,67.5,64.6,154.9,111.5,111.3,"1,476",2
05055,Arkansas,Greene,,Transitional,4.3,"27,698",16.4,75.1,55.1,181.4,130.2,128.9,"2,074",3
05057,Arkansas,Hempstead,,At-Risk,4.2,"24,584",24.6,73.1,48.9,204.3,194.4,157.3,"2,749",4
05059,Arkansas,Hot Spring,,At-Risk,4.4,"22,577",19.0,77.7,44.9,222.5,150.5,150.2,"2,626",4
05061,Arkansas,Howard,,At-Risk,3.8,"26,552",20.3,67.2,52.9,189.2,160.5,139.0,"2,374",4
05063,Arkansas,Independence,,Transitional,4.5,"27,236",17.7,79.6,54.2,184.4,139.8,134.6,"2,252",3
05065,Arkansas,Izard,,Distressed,6.4,"18,011",15.7,112.6,35.9,278.9,124.5,172.0,"2,910",4
05067,Arkansas,Jackson,,At-Risk,6.3,"27,914",20.8,110.8,55.6,180.0,165.0,151.9,"2,656",4
05069,Arkansas,Jefferson,,At-Risk,6.7,"25,510",19.4,117.3,50.8,196.9,153.7,156.0,"2,727",4
05071,Arkansas,Johnson,,At-Risk,5.2,"21,378",18.9,91.0,42.6,235.0,149.9,158.6,"2,770",4
05073,Arkansas,Lafayette,,At-Risk,6.0,"29,812",23.5,105.6,59.3,168.5,185.7,153.2,"2,681",4
05075,Arkansas,Lawrence,,At-Risk,4.8,"23,217",15.5,85.0,46.2,216.4,122.8,141.4,"2,435",4
05077,Arkansas,Lee,,Distressed,5.9,"21,473",27.7,103.6,42.7,233.9,219.4,185.7,"2,993",4
05079,Arkansas,Lincoln,,At-Risk,4.9,"21,244",15.1,86.8,42.3,236.4,119.7,147.6,"2,574",4
05081,Arkansas,Little River,,Transitional,5.1,"24,967",12.4,89.2,49.7,201.2,97.8,129.4,"2,087",3
05083,Arkansas,Logan,,At-Risk,5.0,"21,928",15.7,88.9,43.7,229.1,124.1,147.4,"2,572",4
05085,Arkansas,Lonoke,,Transitional,4.0,"33,571",11.6,70.7,66.8,149.6,91.9,104.1,"1,235",2
05087,Arkansas,Madison,,Transitional,3.2,"27,507",16.5,56.5,54.8,182.6,130.9,123.3,"1,908",3
05089,Arkansas,Marion,,Distressed,4.9,"19,714",18.1,85.7,39.2,254.8,143.2,161.2,"2,806",4
05091,Arkansas,Miller,,At-Risk,5.2,"26,243",18.1,92.3,52.2,191.4,143.1,142.3,"2,456",4
05093,Arkansas,Mississippi,,Distressed,7.1,"26,346",21.8,124.4,52.4,190.7,172.5,162.5,"2,821",4
05095,Arkansas,Monroe,,At-Risk,5.4,"23,272",21.4,94.6,46.3,215.8,169.8,160.1,"2,787",4
05097,Arkansas,Montgomery,,Distressed,5.4,"20,730",18.9,95.9,41.3,242.3,149.8,162.7,"2,822",4
05099,Arkansas,Nevada,,Distressed,4.6,"21,445",25.2,80.9,42.7,234.2,199.3,171.5,"2,907",4
05101,Arkansas,Newton,,Transitional,3.9,"21,472",10.3,68.0,42.7,233.9,81.6,127.8,"2,046",3
05103,Arkansas,Ouachita,,At-Risk,5.0,"29,464",21.1,87.9,58.7,170.5,167.3,141.9,"2,448",4
05105,Arkansas,Perry,,Transitional,4.6,"28,367",15.3,80.5,56.5,177.1,121.5,126.3,"2,000",3
05107,Arkansas,Phillips,,Distressed,7.6,"25,161",33.3,133.2,50.1,199.6,263.9,198.9,"3,037",4
05109,Arkansas,Pike,,At-Risk,4.7,"24,097",17.7,82.8,48.0,208.5,140.4,143.9,"2,503",4
05111,Arkansas,Poinsett,,At-Risk,4.3,"24,454",20.8,75.5,48.7,205.4,164.7,148.5,"2,591",4
05113,Arkansas,Polk,,At-Risk,5.1,"22,036",20.9,89.4,43.9,228.0,165.6,161.0,"2,802",4
05115,Arkansas,Pope,,Transitional,4.7,"27,592",17.4,82.6,54.9,182.0,137.6,134.1,"2,239",3
05117,Arkansas,Prairie,,Transitional,4.4,"28,054",10.0,78.0,55.8,179.1,79.0,112.0,"1,500",2
05119,Arkansas,Pulaski,,Transitional,5.2,"44,529",15.8,92.1,88.6,112.8,125.3,110.1,"1,432",2
05121,Arkansas,Randolph,,At-Risk,4.6,"23,483",19.3,80.4,46.7,213.9,152.5,148.9,"2,602",4
05123,Arkansas,St. Francis,,Distressed,6.4,"20,585",28.5,112.0,41.0,244.0,225.8,193.9,"3,028",4
05125,Arkansas,Saline,,Competitive,3.6,"35,603",8.6,64.2,70.9,141.1,68.5,91.2,756,1
05127,Arkansas,Scott,,Transitional,3.7,"22,888",15.2,65.3,45.6,219.5,119.9,134.9,"2,262",3
05129,Arkansas,Searcy,,Distressed,5.0,"16,848",24.1,88.8,33.5,298.1,191.0,192.6,"3,021",4
05131,Arkansas,Sebastian,,Transitional,4.3,"34,649",17.5,75.9,69.0,145.0,138.8,119.9,"1,793",3
05133,Arkansas,Sevier,,At-Risk,5.0,"28,046",21.6,87.8,55.8,179.1,171.4,146.1,"2,554",4
05135,Arkansas,Sharp,,At-Risk,5.7,"21,980",18.0,99.5,43.8,228.5,142.7,156.9,"2,740",4
05137,Arkansas,Stone,,Distressed,5.6,"19,073",20.9,98.4,38.0,263.4,165.8,175.8,"2,942",4
05139,Arkansas,Union,,Transitional,6.5,"34,834",18.5,114.6,69.3,144.2,146.6,135.1,"2,270",3
05141,Arkansas,Van Buren,,At-Risk,5.6,"20,749",17.6,99.0,41.3,242.1,139.3,160.2,"2,791",4
05143,Arkansas,Washington,,Transitional,3.3,"37,741",15.3,58.7,75.1,133.1,121.3,104.3,"1,245",2
05145,Arkansas,White,,Transitional,4.9,"28,482",15.3,86.2,56.7,176.4,120.8,127.8,"2,045",3
05147,Arkansas,Woodruff,,At-Risk,5.3,"30,547",20.8,93.6,60.8,164.4,164.9,141.0,"2,425",4
05149,Arkansas,Yell,,Transitional,4.3,"26,655",13.8,76.3,53.1,188.4,109.4,124.7,"1,948",3
06001,California,Alameda,,Competitive,6.0,"85,585",8.9,105.6,170.4,58.7,70.6,78.3,370,1
06003,California,Alpine,,Transitional,8.3,"52,211",12.9,145.4,103.9,96.2,102.5,114.7,"1,593",3
06005,California,Amador,,Transitional,6.8,"33,705",7.9,119.0,67.1,149.0,62.6,110.2,"1,441",2
06007,California,Butte,,Transitional,7.1,"36,901",17.7,125.4,73.5,136.1,140.5,134.0,"2,237",3
06009,California,Calaveras,,Transitional,5.8,"39,624",14.1,102.5,78.9,126.8,111.8,113.7,"1,553",2
06011,California,Colusa,,At-Risk,14.0,"39,098",13.0,246.3,77.8,128.5,102.9,159.2,"2,776",4
06013,California,Contra Costa,,Competitive,6.2,"85,628",8.2,108.6,170.5,58.7,64.9,77.4,344,1
06015,California,Del Norte,,At-Risk,7.7,"25,046",17.3,136.0,49.9,200.6,136.9,157.8,"2,758",4
06017,California,El Dorado,,Competitive,5.9,"63,964",8.7,104.6,127.3,78.5,68.7,83.9,518,1
06019,California,Fresno,,At-Risk,9.4,"34,998",20.2,165.9,69.7,143.5,159.8,156.4,"2,737",4
06021,California,Glenn,,Transitional,7.4,"34,040",15.1,130.5,67.8,147.6,119.2,132.4,"2,181",3
06023,California,Humboldt,,Transitional,6.1,"36,527",20.3,108.1,72.7,137.5,160.4,135.3,"2,275",3
06025,California,Imperial,,Distressed,20.4,"28,767",21.0,358.9,57.3,174.6,166.6,233.4,"3,093",4
06027,California,Inyo,,Transitional,5.8,"44,127",10.8,102.1,87.8,113.8,85.5,100.5,"1,117",2
06029,California,Kern,,Distressed,10.3,"32,369",19.4,181.1,64.4,155.2,153.2,163.2,"2,829",4
06031,California,Kings,,At-Risk,9.9,"29,957",16.4,173.5,59.6,167.7,129.6,156.9,"2,742",4
06033,California,Lake,,At-Risk,7.5,"27,898",16.8,132.5,55.5,180.1,133.4,148.6,"2,597",4
06035,California,Lassen,,Transitional,6.0,"25,950",13.9,105.8,51.7,193.6,109.8,136.4,"2,305",3
06037,California,Los Angeles,,Transitional,8.5,"57,083",13.9,149.7,113.6,88.0,109.7,115.8,"1,625",3
06039,California,Madera,,At-Risk,9.0,"31,890",19.6,158.7,63.5,157.5,154.9,157.0,"2,743",4
06041,California,Marin,,Attainment,4.5,"150,764",6.9,79.4,300.1,33.3,54.9,55.9,29,1
06043,California,Mariposa,,Transitional,7.9,"42,066",13.2,138.5,83.7,119.4,104.1,120.7,"1,822",3
06045,California,Mendocino,,Transitional,6.4,"36,817",15.8,113.5,73.3,136.4,125.3,125.1,"1,959",3
06047,California,Merced,,Distressed,10.4,"30,556",19.4,183.2,60.8,164.4,153.2,166.9,"2,864",4
06049,California,Modoc,,At-Risk,7.7,"32,573",19.6,135.7,64.8,154.2,155.2,148.3,"2,586",4
06051,California,Mono,,Transitional,7.5,"52,710",10.0,131.6,104.9,95.3,79.0,102.0,"1,169",2
06053,California,Monterey,,Transitional,8.6,"49,376",12.2,151.4,98.3,101.7,96.2,116.4,"1,645",3
06055,California,Napa,,Competitive,5.9,"75,838",7.7,104.3,151.0,66.2,60.6,77.0,328,1
06057,California,Nevada,,Transitional,5.7,"52,204",10.5,100.3,103.9,96.2,82.9,93.1,819,2
06059,California,Orange,,Competitive,5.9,"68,484",9.9,104.0,136.3,73.3,78.3,85.2,561,1
06061,California,Placer,,Attainment,5.2,"63,891",7.0,91.8,127.2,78.6,55.1,75.2,277,1
06063,California,Plumas,,Transitional,9.5,"36,619",11.9,166.4,72.9,137.2,93.8,132.5,"2,187",3
06065,California,Riverside,,Transitional,7.3,"37,852",12.0,127.9,75.4,132.7,94.6,118.4,"1,732",3
06067,California,Sacramento,,Transitional,6.7,"45,786",13.3,118.9,91.2,109.7,105.0,111.2,"1,473",2
06069,California,San Benito,,Transitional,7.4,"56,963",7.7,130.8,113.4,88.2,61.3,93.4,829,2
06071,California,San Bernardino,,Transitional,7.0,"35,505",14.3,123.7,70.7,141.5,113.2,126.1,"1,993",3
06073,California,San Diego,,Transitional,6.4,"58,634",10.7,112.4,116.7,85.7,84.9,94.3,866,2
06075,California,San Francisco,,Attainment,5.1,"144,806",10.3,89.1,288.3,34.7,81.6,68.5,143,1
06077,California,San Joaquin,,Transitional,8.8,"41,858",13.5,154.5,83.3,120.0,107.1,127.2,"2,024",3
06079,California,San Luis Obispo,,Transitional,5.3,"53,186",12.0,93.5,105.9,94.4,95.0,94.3,867,2
06081,California,San Mateo,,Attainment,4.5,"148,924",6.2,79.5,296.5,33.7,48.8,54.0,19,1
